"","AR3","AR4","AR6","AR8","BICAR","HQCAR","BICVAR","HQCVAR","DNSVAR","DNSAR","RW"
"insample",0.342,0.336,0.333,0.331,0.335,0.329,0.331,0.317,0.364,0.372,0.339
"1step",0.342,0.34,0.339,0.338,0.34,0.346,0.342,0.379,0.377,0.383,0.339
"3step",0.614,0.614,0.613,0.613,0.613,0.621,0.674,0.807,0.643,0.658,0.613
"6step",0.794,0.794,0.794,0.794,0.793,0.799,0.896,1.116,0.811,0.865,0.842
"12step",1.123,1.123,1.122,1.123,1.122,1.14,1.238,1.403,1.129,1.188,1.281
