"","AR3","AR4","AR6","AR8","BICAR","HQCAR","BICVAR","HQCVAR","DNSVAR","DNSAR","RW"
"insample",0.278,0.265,0.239,0.236,0.239,0.236,0.231,0.225,0.35,0.359,0.241
"1step",0.255,0.254,0.227,0.223,0.228,0.226,0.227,0.226,0.292,0.321,0.241
"3step",0.434,0.435,0.431,0.43,0.432,0.431,0.433,0.436,0.469,0.537,0.459
"6step",0.653,0.653,0.656,0.655,0.655,0.656,0.665,0.671,0.696,0.803,0.695
"12step",0.949,0.949,0.952,0.952,0.952,0.952,0.976,0.977,1.035,1.206,1.055
