"","AR3","AR4","AR6","AR8","BICAR","HQCAR","BICVAR","HQCVAR","DNSVAR","DNSAR","RW"
"insample",0.227,0.224,0.221,0.221,0.224,0.221,0.222,0.219,0.255,0.262,0.228
"1step",0.199,0.196,0.194,0.192,0.197,0.195,0.197,0.196,0.256,0.255,0.228
"3step",0.366,0.366,0.367,0.366,0.365,0.364,0.372,0.374,0.424,0.419,0.425
"6step",0.549,0.549,0.55,0.55,0.549,0.544,0.567,0.57,0.631,0.602,0.628
"12step",0.811,0.811,0.812,0.812,0.811,0.801,0.851,0.847,0.961,0.858,0.929
