"","AR3","AR4","AR6","AR8","BICAR","HQCAR","BICVAR","HQCVAR","DNSVAR","DNSAR","RW"
"insample",0.274,0.267,0.264,0.263,0.265,0.26,0.261,0.254,0.291,0.292,0.264
"1step",0.261,0.253,0.25,0.249,0.253,0.252,0.256,0.26,0.283,0.284,0.264
"3step",0.439,0.435,0.434,0.433,0.434,0.434,0.434,0.442,0.465,0.472,0.46
"6step",0.618,0.616,0.615,0.615,0.616,0.612,0.62,0.63,0.671,0.689,0.648
"12step",0.853,0.852,0.852,0.852,0.85,0.839,0.859,0.866,0.965,1.008,0.897
