"","AR3","AR4","AR6","AR8","BICAR","HQCAR","BICVAR","HQCVAR","DNSVAR","DNSAR","RW"
"insample",0.235,0.227,0.22,0.219,0.221,0.221,0.218,0.218,0.259,0.267,0.222
"1step",0.209,0.209,0.202,0.201,0.205,0.204,0.208,0.206,0.247,0.255,0.222
"3step",0.391,0.391,0.392,0.392,0.39,0.393,0.401,0.399,0.42,0.436,0.417
"6step",0.591,0.591,0.594,0.594,0.591,0.594,0.615,0.615,0.628,0.643,0.616
"12step",0.836,0.836,0.839,0.839,0.837,0.839,0.879,0.862,0.899,0.917,0.864
