"","AR3","AR4","AR6","AR8","BICAR","HQCAR","BICVAR","HQCVAR","DNSVAR","DNSAR","RW"
"insample",0.202,0.2,0.193,0.193,0.2,0.194,0.198,0.193,0.234,0.24,0.195
"1step",0.193,0.19,0.185,0.185,0.19,0.189,0.191,0.189,0.242,0.248,0.195
"3step",0.366,0.365,0.363,0.363,0.365,0.364,0.371,0.37,0.401,0.421,0.369
"6step",0.558,0.558,0.557,0.557,0.558,0.557,0.577,0.576,0.591,0.631,0.561
"12step",0.778,0.778,0.778,0.778,0.778,0.778,0.815,0.817,0.811,0.9,0.781
