"","AR3","AR4","AR6","AR8","BICAR","HQCAR","BICVAR","HQCVAR","DNSVAR","DNSAR","RW"
"insample",0.245,0.244,0.241,0.24,0.244,0.241,0.236,0.232,0.288,0.297,0.246
"1step",0.214,0.211,0.21,0.21,0.211,0.211,0.21,0.211,0.275,0.284,0.246
"3step",0.408,0.41,0.414,0.415,0.413,0.415,0.393,0.402,0.451,0.489,0.464
"6step",0.654,0.656,0.661,0.662,0.66,0.662,0.612,0.626,0.694,0.774,0.717
"12step",1.071,1.072,1.074,1.074,1.073,1.075,1.015,1.016,1.141,1.25,1.14
