"","AR3","AR4","AR6","AR8","BICAR","HQCAR","BICVAR","HQCVAR","DNSVAR","DNSAR","RW"
"insample",0.128,0.124,0.12,0.118,0.12,0.112,0.118,0.104,0.231,0.234,0.124
"1step",0.09,0.085,0.079,0.078,0.082,0.082,0.082,0.082,0.229,0.234,0.124
"3step",0.15,0.147,0.144,0.144,0.146,0.146,0.147,0.148,0.264,0.277,0.226
"6step",0.218,0.217,0.215,0.215,0.216,0.216,0.217,0.219,0.317,0.335,0.281
"12step",0.318,0.318,0.317,0.317,0.317,0.317,0.301,0.304,0.405,0.419,0.332
